2019-06-07 21:20:14,421 - DEBUG - {'total': 64384004096, 'available': 61647966208, 'percent': 4.2, 'used': 2124668928, 'free': 61465202688, 'active': 1945047040, 'inactive': 644354048, 'buffers': 34467840, 'cached': 759664640, 'shared': 6365184, 'slab': 58609664}
2019-06-07 21:21:31,118 - DEBUG - {'total': 64384004096, 'available': 61643685888, 'percent': 4.3, 'used': 2128949248, 'free': 61460652032, 'active': 1945182208, 'inactive': 644587520, 'buffers': 34488320, 'cached': 759914496, 'shared': 6365184, 'slab': 58007552}
2019-06-07 21:21:55,042 - DEBUG - {'total': 64384004096, 'available': 61647646720, 'percent': 4.3, 'used': 2124877824, 'free': 61464461312, 'active': 1945219072, 'inactive': 644722688, 'buffers': 34500608, 'cached': 760164352, 'shared': 6365184, 'slab': 59113472}
2019-06-07 21:22:31,543 - DEBUG - {'total': 64384004096, 'available': 61646262272, 'percent': 4.3, 'used': 2126311424, 'free': 61462806528, 'active': 1945247744, 'inactive': 644964352, 'buffers': 34516992, 'cached': 760369152, 'shared': 6365184, 'slab': 60563456}
2019-06-07 21:23:44,027 - DEBUG - {'total': 64384004096, 'available': 61642387456, 'percent': 4.3, 'used': 2130210816, 'free': 61458636800, 'active': 1946071040, 'inactive': 645246976, 'buffers': 34545664, 'cached': 760610816, 'shared': 6365184, 'slab': 58191872}
2019-06-07 21:24:02,883 - DEBUG - {'total': 64384004096, 'available': 61646491648, 'percent': 4.3, 'used': 2126073856, 'free': 61462556672, 'active': 1946148864, 'inactive': 645398528, 'buffers': 34553856, 'cached': 760819712, 'shared': 6365184, 'slab': 59301888}
2019-06-07 21:24:27,815 - DEBUG - {'total': 64384004096, 'available': 61646307328, 'percent': 4.3, 'used': 2126213120, 'free': 61462138880, 'active': 1946161152, 'inactive': 645586944, 'buffers': 34566144, 'cached': 761085952, 'shared': 6365184, 'slab': 59662336}
2019-06-07 21:24:54,980 - DEBUG - {'total': 64384004096, 'available': 61645369344, 'percent': 4.3, 'used': 2127159296, 'free': 61460996096, 'active': 1946161152, 'inactive': 645787648, 'buffers': 34578432, 'cached': 761270272, 'shared': 6365184, 'slab': 60645376}
2019-06-07 21:25:47,056 - DEBUG - {'total': 64384004096, 'available': 61647626240, 'percent': 4.3, 'used': 2124881920, 'free': 61463048192, 'active': 1946202112, 'inactive': 645955584, 'buffers': 34611200, 'cached': 761462784, 'shared': 6365184, 'slab': 58261504}
2019-06-07 21:26:06,370 - DEBUG - {'total': 64384004096, 'available': 61646913536, 'percent': 4.3, 'used': 2125602816, 'free': 61462040576, 'active': 1946218496, 'inactive': 646217728, 'buffers': 34619392, 'cached': 761741312, 'shared': 6365184, 'slab': 59043840}
2019-06-07 21:26:48,651 - DEBUG - {'total': 64384004096, 'available': 61644537856, 'percent': 4.3, 'used': 2127966208, 'free': 61459402752, 'active': 1946304512, 'inactive': 646455296, 'buffers': 34652160, 'cached': 761982976, 'shared': 6365184, 'slab': 61337600}
