2019-06-06 20:49:49,890 - DEBUG - {'total': 64384004096, 'available': 61627904000, 'percent': 4.3, 'used': 2144620544, 'free': 61443612672, 'active': 2283511808, 'inactive': 326823936, 'buffers': 34721792, 'cached': 761049088, 'shared': 6365184, 'slab': 59183104}
2019-06-06 20:50:19,873 - DEBUG - {'total': 64384004096, 'available': 61626601472, 'percent': 4.3, 'used': 2145923072, 'free': 61442080768, 'active': 2283573248, 'inactive': 327028736, 'buffers': 34738176, 'cached': 761262080, 'shared': 6365184, 'slab': 60641280}
2019-06-06 20:51:00,300 - DEBUG - {'total': 64384004096, 'available': 61626560512, 'percent': 4.3, 'used': 2145910784, 'free': 61441884160, 'active': 2283618304, 'inactive': 327163904, 'buffers': 34758656, 'cached': 761450496, 'shared': 6365184, 'slab': 60719104}
2019-06-06 20:51:48,749 - DEBUG - {'total': 64384004096, 'available': 61628653568, 'percent': 4.3, 'used': 2143850496, 'free': 61443698688, 'active': 2283659264, 'inactive': 327413760, 'buffers': 34770944, 'cached': 761683968, 'shared': 6365184, 'slab': 58675200}
2019-06-06 20:52:11,436 - DEBUG - {'total': 64384004096, 'available': 61627281408, 'percent': 4.3, 'used': 2145202176, 'free': 61442158592, 'active': 2283692032, 'inactive': 327553024, 'buffers': 34787328, 'cached': 761856000, 'shared': 6365184, 'slab': 59756544}
2019-06-06 20:53:03,392 - DEBUG - {'total': 64384004096, 'available': 61626929152, 'percent': 4.3, 'used': 2145579008, 'free': 61441544192, 'active': 2283798528, 'inactive': 327794688, 'buffers': 34803712, 'cached': 762077184, 'shared': 6365184, 'slab': 60153856}
2019-06-06 20:53:11,280 - DEBUG - {'total': 64384004096, 'available': 61627932672, 'percent': 4.3, 'used': 2144550912, 'free': 61442424832, 'active': 2283802624, 'inactive': 327905280, 'buffers': 34811904, 'cached': 762216448, 'shared': 6365184, 'slab': 58994688}
2019-06-06 20:53:38,681 - DEBUG - {'total': 64384004096, 'available': 61626601472, 'percent': 4.3, 'used': 2145878016, 'free': 61440872448, 'active': 2283823104, 'inactive': 328105984, 'buffers': 34832384, 'cached': 762421248, 'shared': 6365184, 'slab': 60542976}
2019-06-06 20:54:12,558 - DEBUG - {'total': 64384004096, 'available': 61625593856, 'percent': 4.3, 'used': 2146861056, 'free': 61439639552, 'active': 2283876352, 'inactive': 328294400, 'buffers': 34852864, 'cached': 762650624, 'shared': 6365184, 'slab': 61308928}
2019-06-06 20:54:25,200 - DEBUG - {'total': 64384004096, 'available': 61627432960, 'percent': 4.3, 'used': 2144968704, 'free': 61441339392, 'active': 2283884544, 'inactive': 328409088, 'buffers': 34861056, 'cached': 762834944, 'shared': 6365184, 'slab': 59514880}
2019-06-06 20:54:32,964 - DEBUG - {'total': 64384004096, 'available': 61627817984, 'percent': 4.3, 'used': 2144550912, 'free': 61441601536, 'active': 2283892736, 'inactive': 328515584, 'buffers': 34869248, 'cached': 762982400, 'shared': 6365184, 'slab': 59248640}
2019-06-06 20:54:50,118 - DEBUG - {'total': 64384004096, 'available': 61627088896, 'percent': 4.3, 'used': 2145308672, 'free': 61440589824, 'active': 2284085248, 'inactive': 328785920, 'buffers': 34881536, 'cached': 763224064, 'shared': 6365184, 'slab': 59629568}
2019-06-06 20:55:02,772 - DEBUG - {'total': 64384004096, 'available': 61627351040, 'percent': 4.3, 'used': 2145034240, 'free': 61440671744, 'active': 2284216320, 'inactive': 328933376, 'buffers': 34889728, 'cached': 763408384, 'shared': 6365184, 'slab': 59158528}
