2019-06-07 06:04:36,742 - DEBUG - {'total': 64384004096, 'available': 58527551488, 'percent': 9.1, 'used': 5208252416, 'free': 58104729600, 'active': 5643841536, 'inactive': 296468480, 'buffers': 191414272, 'cached': 879607808, 'shared': 69632, 'slab': 136990720}
2019-06-07 06:18:54,277 - DEBUG - {'total': 64384004096, 'available': 58526924800, 'percent': 9.1, 'used': 5208870912, 'free': 58103607296, 'active': 5644214272, 'inactive': 296677376, 'buffers': 191692800, 'cached': 879833088, 'shared': 69632, 'slab': 137125888}
2019-06-07 06:28:40,255 - DEBUG - {'total': 64384004096, 'available': 58526412800, 'percent': 9.1, 'used': 5209370624, 'free': 58102743040, 'active': 5644296192, 'inactive': 296779776, 'buffers': 191885312, 'cached': 880005120, 'shared': 69632, 'slab': 137142272}
2019-06-07 06:34:20,142 - DEBUG - {'total': 64384004096, 'available': 58526560256, 'percent': 9.1, 'used': 5209227264, 'free': 58102648832, 'active': 5644472320, 'inactive': 296873984, 'buffers': 191983616, 'cached': 880144384, 'shared': 69632, 'slab': 137080832}
2019-06-07 06:47:15,710 - DEBUG - {'total': 64384004096, 'available': 58526380032, 'percent': 9.1, 'used': 5209387008, 'free': 58102013952, 'active': 5644632064, 'inactive': 297091072, 'buffers': 192204800, 'cached': 880398336, 'shared': 69632, 'slab': 137080832}
2019-06-07 06:56:25,700 - DEBUG - {'total': 64384004096, 'available': 58525868032, 'percent': 9.1, 'used': 5209882624, 'free': 58101059584, 'active': 5645389824, 'inactive': 297365504, 'buffers': 192380928, 'cached': 880680960, 'shared': 69632, 'slab': 137285632}
2019-06-07 07:03:28,289 - DEBUG - {'total': 64384004096, 'available': 58526814208, 'percent': 9.1, 'used': 5208940544, 'free': 58101710848, 'active': 5645234176, 'inactive': 297512960, 'buffers': 192507904, 'cached': 880844800, 'shared': 69632, 'slab': 137179136}
2019-06-07 07:24:37,950 - DEBUG - {'total': 64384004096, 'available': 58525925376, 'percent': 9.1, 'used': 5209817088, 'free': 58099908608, 'active': 5646217216, 'inactive': 298049536, 'buffers': 192884736, 'cached': 881393664, 'shared': 69632, 'slab': 137207808}
2019-06-07 07:35:06,985 - DEBUG - {'total': 64384004096, 'available': 58525757440, 'percent': 9.1, 'used': 5209972736, 'free': 58099367936, 'active': 5646614528, 'inactive': 298192896, 'buffers': 193089536, 'cached': 881573888, 'shared': 69632, 'slab': 137338880}
2019-06-07 07:46:47,508 - DEBUG - {'total': 64384004096, 'available': 58525343744, 'percent': 9.1, 'used': 5210378240, 'free': 58098540544, 'active': 5646589952, 'inactive': 298315776, 'buffers': 193318912, 'cached': 881766400, 'shared': 69632, 'slab': 137592832}
2019-06-07 07:53:27,583 - DEBUG - {'total': 64384004096, 'available': 58525724672, 'percent': 9.1, 'used': 5209980928, 'free': 58098700288, 'active': 5646372864, 'inactive': 298299392, 'buffers': 193462272, 'cached': 881860608, 'shared': 69632, 'slab': 137474048}
2019-06-07 08:16:14,173 - DEBUG - {'total': 64384004096, 'available': 58526060544, 'percent': 9.1, 'used': 5209649152, 'free': 58098421760, 'active': 5647044608, 'inactive': 298459136, 'buffers': 193855488, 'cached': 882077696, 'shared': 69632, 'slab': 137371648}
2019-06-07 08:25:33,311 - DEBUG - {'total': 64384004096, 'available': 58526089216, 'percent': 9.1, 'used': 5209616384, 'free': 58098126848, 'active': 5647253504, 'inactive': 298549248, 'buffers': 194039808, 'cached': 882221056, 'shared': 69632, 'slab': 137424896}
2019-06-07 08:33:12,870 - DEBUG - {'total': 64384004096, 'available': 58525818880, 'percent': 9.1, 'used': 5209878528, 'free': 58097606656, 'active': 5647400960, 'inactive': 298610688, 'buffers': 194174976, 'cached': 882343936, 'shared': 69632, 'slab': 137379840}
2019-06-07 08:45:01,660 - DEBUG - {'total': 64384004096, 'available': 58525687808, 'percent': 9.1, 'used': 5209997312, 'free': 58097070080, 'active': 5648084992, 'inactive': 298721280, 'buffers': 194404352, 'cached': 882532352, 'shared': 69632, 'slab': 137469952}
2019-06-07 08:52:51,712 - DEBUG - {'total': 64384004096, 'available': 58525839360, 'percent': 9.1, 'used': 5209837568, 'free': 58096955392, 'active': 5647904768, 'inactive': 298782720, 'buffers': 194535424, 'cached': 882675712, 'shared': 69632, 'slab': 137281536}
2019-06-07 09:05:27,258 - DEBUG - {'total': 64384004096, 'available': 58525597696, 'percent': 9.1, 'used': 5210075136, 'free': 58096205824, 'active': 5648740352, 'inactive': 298987520, 'buffers': 194785280, 'cached': 882937856, 'shared': 69632, 'slab': 137424896}
2019-06-07 09:10:35,490 - DEBUG - {'total': 64384004096, 'available': 58525843456, 'percent': 9.1, 'used': 5209821184, 'free': 58096160768, 'active': 5648191488, 'inactive': 299188224, 'buffers': 194875392, 'cached': 883146752, 'shared': 69632, 'slab': 137494528}
2019-06-07 09:15:37,425 - DEBUG - {'total': 64384004096, 'available': 58525765632, 'percent': 9.1, 'used': 5209899008, 'free': 58095841280, 'active': 5648396288, 'inactive': 299274240, 'buffers': 194981888, 'cached': 883281920, 'shared': 69632, 'slab': 137486336}
2019-06-07 09:22:28,397 - DEBUG - {'total': 64384004096, 'available': 58526109696, 'percent': 9.1, 'used': 5209526272, 'free': 58095841280, 'active': 5648273408, 'inactive': 299442176, 'buffers': 195117056, 'cached': 883519488, 'shared': 69632, 'slab': 137498624}
2019-06-07 09:29:51,553 - DEBUG - {'total': 64384004096, 'available': 58526363648, 'percent': 9.1, 'used': 5209268224, 'free': 58095775744, 'active': 5648416768, 'inactive': 299622400, 'buffers': 195248128, 'cached': 883712000, 'shared': 69632, 'slab': 137609216}
2019-06-07 09:52:45,669 - DEBUG - {'total': 64384004096, 'available': 58526568448, 'percent': 9.1, 'used': 5209059328, 'free': 58095296512, 'active': 5649051648, 'inactive': 299872256, 'buffers': 195645440, 'cached': 884002816, 'shared': 69632, 'slab': 137392128}
2019-06-07 10:02:14,712 - DEBUG - {'total': 64384004096, 'available': 58525663232, 'percent': 9.1, 'used': 5209960448, 'free': 58093965312, 'active': 5649379328, 'inactive': 300089344, 'buffers': 195854336, 'cached': 884224000, 'shared': 69632, 'slab': 137592832}
2019-06-07 10:11:48,540 - DEBUG - {'total': 64384004096, 'available': 58526240768, 'percent': 9.1, 'used': 5209358336, 'free': 58094141440, 'active': 5649494016, 'inactive': 300281856, 'buffers': 196022272, 'cached': 884482048, 'shared': 69632, 'slab': 137506816}
2019-06-07 10:20:16,257 - DEBUG - {'total': 64384004096, 'available': 58526085120, 'percent': 9.1, 'used': 5209509888, 'free': 58093506560, 'active': 5649866752, 'inactive': 300564480, 'buffers': 196214784, 'cached': 884772864, 'shared': 69632, 'slab': 137515008}
2019-06-07 10:34:45,082 - DEBUG - {'total': 64384004096, 'available': 58526281728, 'percent': 9.1, 'used': 5209309184, 'free': 58093207552, 'active': 5650157568, 'inactive': 300703744, 'buffers': 196521984, 'cached': 884965376, 'shared': 69632, 'slab': 137584640}
2019-06-07 10:44:12,278 - DEBUG - {'total': 64384004096, 'available': 58525454336, 'percent': 9.1, 'used': 5210112000, 'free': 58092064768, 'active': 5650427904, 'inactive': 300744704, 'buffers': 196718592, 'cached': 885108736, 'shared': 69632, 'slab': 137670656}
2019-06-07 10:48:08,128 - DEBUG - {'total': 64384004096, 'available': 58526130176, 'percent': 9.1, 'used': 5209427968, 'free': 58092519424, 'active': 5650194432, 'inactive': 300818432, 'buffers': 196816896, 'cached': 885239808, 'shared': 69632, 'slab': 137830400}
2019-06-07 10:52:31,765 - DEBUG - {'total': 64384004096, 'available': 58525761536, 'percent': 9.1, 'used': 5209804800, 'free': 58091855872, 'active': 5650440192, 'inactive': 300982272, 'buffers': 196915200, 'cached': 885428224, 'shared': 69632, 'slab': 137781248}
2019-06-07 11:06:24,043 - DEBUG - {'total': 64384004096, 'available': 58526666752, 'percent': 9.1, 'used': 5208870912, 'free': 58092298240, 'active': 5650644992, 'inactive': 301137920, 'buffers': 197181440, 'cached': 885653504, 'shared': 69632, 'slab': 137871360}
2019-06-07 11:11:06,825 - DEBUG - {'total': 64384004096, 'available': 58525736960, 'percent': 9.1, 'used': 5209808896, 'free': 58091155456, 'active': 5650845696, 'inactive': 301182976, 'buffers': 197287936, 'cached': 885751808, 'shared': 69632, 'slab': 137863168}
2019-06-07 11:17:58,465 - DEBUG - {'total': 64384004096, 'available': 58526162944, 'percent': 9.1, 'used': 5209374720, 'free': 58091282432, 'active': 5651062784, 'inactive': 301326336, 'buffers': 197431296, 'cached': 885915648, 'shared': 69632, 'slab': 137764864}
2019-06-07 11:21:19,483 - DEBUG - {'total': 64384004096, 'available': 58525732864, 'percent': 9.1, 'used': 5209792512, 'free': 58090663936, 'active': 5651156992, 'inactive': 301408256, 'buffers': 197488640, 'cached': 886059008, 'shared': 69632, 'slab': 137732096}
2019-06-07 11:25:59,269 - DEBUG - {'total': 64384004096, 'available': 58525851648, 'percent': 9.1, 'used': 5209673728, 'free': 58090536960, 'active': 5651111936, 'inactive': 301568000, 'buffers': 197574656, 'cached': 886218752, 'shared': 69632, 'slab': 137703424}
2019-06-07 11:35:03,456 - DEBUG - {'total': 64384004096, 'available': 58525806592, 'percent': 9.1, 'used': 5209706496, 'free': 58090135552, 'active': 5651644416, 'inactive': 301699072, 'buffers': 197750784, 'cached': 886411264, 'shared': 69632, 'slab': 137535488}
2019-06-07 11:46:56,665 - DEBUG - {'total': 64384004096, 'available': 58525982720, 'percent': 9.1, 'used': 5209509888, 'free': 58089897984, 'active': 5651660800, 'inactive': 301834240, 'buffers': 198004736, 'cached': 886591488, 'shared': 69632, 'slab': 137531392}
